City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Necochea,AR,76.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
157,Itaituba,BR,71.38,overcast clouds,-4.2761,-55.9836,Hotel Campos
162,Osorno,CL,61.25,clear sky,-40.5667,-73.15,Sonesta Hotel Osorno
163,Ambilobe,MG,74.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
165,Damietta,EG,51.69,clear sky,31.4165,31.8133,SULIMAN INN
167,Nouadhibou,MR,62.58,overcast clouds,20.931,-17.0347,El Medina
168,Bilma,NE,56.32,clear sky,18.6853,12.9164,Expeditions Ténére voyages
169,Rio Grande,BR,70.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
171,Kiunga,PG,73.81,light rain,-6.1219,141.2906,Airport Lodge Kiunga
172,Aneho,TG,77.2,few clouds,6.2333,1.6,Hotel La Linette
175,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
176,Kaitangata,NZ,56.28,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
177,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
181,Moerai,PF,79.84,clear sky,-22.4333,-151.3333,Le Manotel
182,La Palma,US,68.9,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
183,East London,ZA,69.33,clear sky,-33.0153,27.9116,Tu Casa
187,Ilhabela,BR,73.53,light rain,-23.7781,-45.3581,Ilha Flat Hotel
188,Laguna,US,64.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
189,Pahrump,US,56.25,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
190,Lebu,CL,58.41,clear sky,-37.6167,-73.65,Hostal Las Lilas
192,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
193,Doha,QA,60.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
197,Kendrapara,IN,54.01,clear sky,20.5042,86.416,Hotel Mayuri Palace
199,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
200,Oyotun,PE,75.51,overcast clouds,-6.8519,-79.3036,Hotel Campos
201,Feijo,BR,72.79,light rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
202,Lata,PT,50.41,clear sky,40.1629,-8.3327,Casa Maquia
204,Sao Borja,BR,75.94,clear sky,-28.6606,-56.0044,Hotel Executivo
205,Ancud,CL,58.53,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
209,Llata,PE,55.31,moderate rain,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
211,Buraydah,SA,50.45,clear sky,26.326,43.975,فندق راحة السلام
213,Makakilo City,US,79.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
216,Alice Springs,AU,76.55,heavy intensity drizzle,-23.7,133.8833,Desert Palms Alice Springs
217,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
218,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
219,Esmeraldas,BR,73.71,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
221,Ojinaga,MX,59.95,clear sky,29.5667,-104.4167,Suites Las Palmas
222,Lompoc,US,66.51,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
223,Rabo De Peixe,PT,56.71,few clouds,37.8,-25.5833,Quinta das Giestas
224,Sur,OM,69.85,clear sky,22.5667,59.5289,Sur Plaza Hotel
231,San Quintin,MX,61.97,clear sky,30.4833,-115.95,Don Eddie's Landing
232,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
233,Marsa Matruh,EG,50.2,scattered clouds,31.3525,27.2453,Beau Site
238,San Patricio,US,57.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
239,Puerto Del Rosario,ES,65.88,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
240,Mercedes,AR,76.86,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
245,Harper,LR,78.8,clear sky,4.375,-7.7169,Screensaver
246,Dunedin,NZ,58.03,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
248,Alice Town,BS,60.44,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
252,Young,UY,67.32,scattered clouds,-32.6833,-57.6333,Posada Gira el Sol
255,Ribeira Grande,PT,58.68,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
265,Los Llanos De Aridane,ES,58.75,haze,28.6585,-17.9182,Valle Aridane
270,Solaro,IT,50.32,scattered clouds,44.8799,9.1732,Il Covone di Grano
272,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
274,Christchurch,NZ,75.99,overcast clouds,-43.5333,172.6333,The George
281,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
282,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
287,Cabo San Lucas,MX,73.94,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
290,Santa Maria,BR,69.46,clear sky,-29.6842,-53.8069,Hotel Morotin
