City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Svetlogorsk,BY,52.6333,29.7333,26.47,95,100,18.34,snow
141,Iqaluit,CA,63.7506,-68.5145,-11.47,58,100,8.05,light snow
142,La Ronge,CA,55.1001,-105.2842,8.85,78,100,6.91,overcast clouds
143,Fortuna,US,40.5982,-124.1573,58.19,78,0,0.0,clear sky
144,Ulaanbaatar,MN,47.9077,106.8832,-20.07,69,0,2.24,clear sky
145,Shush,IR,32.1942,48.2436,48.09,43,0,2.84,clear sky
146,Bensonville,LR,6.4461,-10.6125,75.6,90,54,1.74,broken clouds
147,Bengkulu,ID,-3.8004,102.2655,77.97,87,100,3.8,overcast clouds
148,La Rioja,ES,42.25,-2.5,35.04,37,0,6.62,clear sky
149,Touros,BR,-5.1989,-35.4608,77.9,82,98,10.71,overcast clouds
150,Vilyuysk,RU,63.7553,121.6247,-20.15,99,88,5.3,overcast clouds
151,Sorong,ID,-0.8833,131.25,83.25,73,100,8.3,overcast clouds
152,Novyy Urengoy,RU,66.0833,76.6333,-7.53,96,97,8.7,overcast clouds
153,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,broken clouds
154,Necochea,AR,-38.5473,-58.7368,76.03,60,0,17.72,clear sky
155,Butaritari,KI,3.0707,172.7902,82.56,72,78,18.01,broken clouds
156,Bilibino,RU,68.0546,166.4372,-0.98,88,100,2.57,overcast clouds
157,Itaituba,BR,-4.2761,-55.9836,71.38,100,100,1.19,overcast clouds
158,Northam,GB,51.0333,-4.2167,43.39,86,44,6.6,scattered clouds
159,Geraldton,AU,-28.7667,114.6,82.81,54,0,12.66,clear sky
160,Wladyslawowo,PL,54.7909,18.4009,42.35,68,100,40.91,overcast clouds
161,Ostrovnoy,RU,68.0531,39.5131,16.61,89,100,12.37,overcast clouds
162,Osorno,CL,-40.5667,-73.15,61.25,75,4,3.96,clear sky
163,Ambilobe,MG,-13.2,49.05,74.26,92,99,1.57,light rain
164,Hithadhoo,MV,-0.6,73.0833,80.76,68,78,2.55,broken clouds
165,Damietta,EG,31.4165,31.8133,51.69,79,1,6.62,clear sky
166,Haines Junction,CA,60.7522,-137.5108,12.15,67,100,10.36,overcast clouds
167,Nouadhibou,MR,20.931,-17.0347,62.58,82,100,14.97,overcast clouds
168,Bilma,NE,18.6853,12.9164,56.32,21,0,12.57,clear sky
169,Rio Grande,BR,-32.035,-52.0986,70.95,65,25,13.0,scattered clouds
170,Filingue,NE,14.3521,3.3168,67.5,13,3,12.57,clear sky
171,Kiunga,PG,-6.1219,141.2906,73.81,98,100,1.57,light rain
172,Aneho,TG,6.2333,1.6,77.2,85,13,3.42,few clouds
173,Sitka,US,57.0531,-135.33,34.12,92,100,11.59,snow
174,Tommot,RU,58.9564,126.2925,-4.97,94,100,8.3,overcast clouds
175,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,75,10.29,broken clouds
176,Kaitangata,NZ,-46.2817,169.8464,56.28,96,100,5.35,overcast clouds
177,Souillac,MU,-20.5167,57.5167,79.18,78,40,6.91,scattered clouds
178,Clyde River,CA,70.4692,-68.5914,-7.37,71,100,9.22,light snow
179,Tateyama,JP,34.9833,139.8667,47.1,57,56,14.18,broken clouds
180,Dandong,CN,40.1292,124.3947,20.12,39,0,5.46,clear sky
181,Moerai,PF,-22.4333,-151.3333,79.84,75,6,8.19,clear sky
182,La Palma,US,33.8464,-118.0467,68.9,26,100,1.01,overcast clouds
183,East London,ZA,-33.0153,27.9116,69.33,85,3,6.15,clear sky
184,Thompson,CA,55.7435,-97.8558,-9.24,84,20,2.3,few clouds
185,Banda Aceh,ID,5.5577,95.3222,80.15,75,71,5.53,broken clouds
186,Samtredia,GE,42.1537,42.3352,32.27,80,100,6.91,overcast clouds
187,Ilhabela,BR,-23.7781,-45.3581,73.53,96,100,1.61,light rain
188,Laguna,US,38.421,-121.4238,64.49,41,0,5.75,clear sky
189,Pahrump,US,36.2083,-115.9839,56.25,13,100,1.99,overcast clouds
190,Lebu,CL,-37.6167,-73.65,58.41,88,0,9.04,clear sky
191,Beaverlodge,CA,55.2166,-119.4361,36.75,87,100,3.24,overcast clouds
192,Miri,MY,4.4148,114.0089,75.34,94,40,5.75,scattered clouds
193,Doha,QA,25.2867,51.5333,60.78,67,0,9.22,clear sky
194,Kamsack,CA,51.5667,-101.9009,14.45,100,55,1.36,broken clouds
195,High Level,CA,58.5169,-117.136,14.11,92,100,3.44,snow
196,Kungurtug,RU,50.5994,97.5228,-24.7,98,36,1.3,scattered clouds
197,Kendrapara,IN,20.5042,86.416,54.01,48,2,3.83,clear sky
198,Kodiak,US,57.79,-152.4072,28.18,77,12,11.72,few clouds
199,Hermanus,ZA,-34.4187,19.2345,65.8,83,1,10.89,clear sky
200,Oyotun,PE,-6.8519,-79.3036,75.51,70,100,4.32,overcast clouds
201,Feijo,BR,-8.1642,-70.3536,72.79,98,100,3.71,light rain
202,Lata,PT,40.1629,-8.3327,50.41,51,0,5.37,clear sky
203,Khatanga,RU,71.9667,102.5,-6.61,97,97,8.03,overcast clouds
204,Sao Borja,BR,-28.6606,-56.0044,75.94,38,0,13.96,clear sky
205,Ancud,CL,-41.8697,-73.8203,58.53,90,100,11.39,light rain
206,Chokurdakh,RU,70.6333,147.9167,-12.35,87,98,1.36,overcast clouds
207,Nanortalik,GL,60.1432,-45.2371,20.68,69,100,27.87,light snow
208,Strezhevoy,RU,60.7333,77.5889,-0.02,97,100,6.22,overcast clouds
209,Llata,PE,-9.4167,-76.7833,55.31,86,100,1.48,moderate rain
210,Leningradskiy,RU,69.3833,178.4167,-10.43,91,51,4.76,broken clouds
211,Buraydah,SA,26.326,43.975,50.45,39,0,14.38,clear sky
212,Stolin,BY,51.8912,26.846,31.87,97,100,19.51,snow
213,Makakilo City,US,21.3469,-158.0858,79.68,54,3,10.96,clear sky
214,Mitsamiouli,KM,-11.3847,43.2844,80.49,72,8,1.05,clear sky
215,Innisfail,AU,-17.5333,146.0333,87.87,79,100,8.39,overcast clouds
216,Alice Springs,AU,-23.7,133.8833,76.55,94,75,17.27,heavy intensity drizzle
217,San Cristobal,VE,7.7669,-72.225,73.58,84,69,3.06,broken clouds
218,Pisco,PE,-13.7,-76.2167,71.65,73,0,14.97,clear sky
219,Esmeraldas,BR,-19.7625,-44.3139,73.71,87,96,1.14,overcast clouds
220,Bonavista,CA,48.6499,-53.1147,36.12,95,100,43.11,snow
221,Ojinaga,MX,29.5667,-104.4167,59.95,41,0,4.61,clear sky
222,Lompoc,US,34.6391,-120.4579,66.51,48,0,10.36,clear sky
223,Rabo De Peixe,PT,37.8,-25.5833,56.71,93,20,2.3,few clouds
224,Sur,OM,22.5667,59.5289,69.85,51,5,2.53,clear sky
225,Golyshmanovo,RU,56.3979,68.3728,3.29,92,100,6.46,overcast clouds
226,Kartaly,RU,53.0522,60.6467,5.38,93,100,4.94,overcast clouds
227,Riyadh,SA,24.6877,46.7219,48.34,41,0,8.08,clear sky
228,Birjand,IR,32.8663,59.2211,32.47,55,0,0.0,clear sky
229,Zhigansk,RU,66.7697,123.3711,-33.25,100,96,3.53,overcast clouds
